question_number,option_label,domain,question_text,response_text,primary_signal,secondary_signal,assignment_method,score_margin,needs_review,notes
51,C,Environment Fit, What does an ideal working culture look like to you?,Collaborative culture with strong trust,collaborative,,heuristic_assignment,8.0,False,heuristic_assignment
51,D,Environment Fit, What does an ideal working culture look like to you?,Structured culture with clear standards,structured,,heuristic_assignment,8.0,False,heuristic_assignment
52,A,Environment Fit, How should success be measured in an organisation?,Strong financial results and margin discipline,competitive,,manual_override,7.0,False,manual_override
52,B,Environment Fit, How should success be measured in an organisation?,Sustainable growth in capability and reach,creative,,manual_override,3.0,False,manual_override
52,C,Environment Fit, How should success be measured in an organisation?,Healthy engagement and low team friction,collaborative,,manual_override,7.0,False,manual_override
52,D,Environment Fit, How should success be measured in an organisation?,Operational efficiency and consistent delivery,structured,,manual_override,8.0,False,manual_override
53,A,Environment Fit, What should culture prioritise above all else?,High standards and measurable performance,competitive,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
53,B,Environment Fit, What should culture prioritise above all else?,Experimentation that leads to real learning,creative,,manual_override,4.0,False,manual_override
53,C,Environment Fit, What should culture prioritise above all else?,"Belonging, trust, and psychological safety",collaborative,,manual_override,4.0,False,manual_override
53,D,Environment Fit, What should culture prioritise above all else?,Consistency in how work gets done,structured,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
54,A,Leadership Approach, How should accountability show up in a team?,Expectations are explicit and hard to ignore,results,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
54,B,Leadership Approach, How should accountability show up in a team?,People own outcomes because purpose is clear,vision,,manual_override,3.0,False,manual_override
54,C,Leadership Approach, How should accountability show up in a team?,Accountability is fair and applied evenly,people,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
54,D,Leadership Approach, How should accountability show up in a team?,Progress is measured with clear metrics,process,,manual_override,7.0,False,manual_override
55,A,Environment Fit, What kind of culture do you struggle in?,Slow cultures where decisions drag on,competitive,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
55,B,Environment Fit, What kind of culture do you struggle in?,Risk-averse cultures that reject new ideas,creative,,manual_override,4.0,False,manual_override
55,C,Environment Fit, What kind of culture do you struggle in?,Harsh cultures that normalise blame,collaborative,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
55,D,Environment Fit, What kind of culture do you struggle in?,Chaotic cultures with no clear process,structured,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
56,A,Environment Fit, What type of role suits you best?,Owning commercial outcomes across teams,competitive,,manual_override,1.0,True,manual_override; low-confidence or nuanced wording
56,B,Environment Fit, What type of role suits you best?,Building partnerships and opening opportunities,collaborative,,manual_override,4.0,False,manual_override
56,C,Environment Fit, What type of role suits you best?,Running operations with reliability and pace,structured,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
56,D,Environment Fit, What type of role suits you best?,Solving specialist problems with deep expertise,creative,,manual_override,3.0,False,manual_override
57,A,Operating Style, Where does your natural strength lie?,Driving change when momentum is needed,driver,,heuristic_assignment,0.0,True,heuristic_assignment; low-confidence or nuanced wording
57,B,Operating Style, Where does your natural strength lie?,Influencing people across functions and levels,influencer,,heuristic_assignment,7.0,False,heuristic_assignment
57,C,Operating Style, Where does your natural strength lie?,Keeping delivery stable during disruption,implementer,,heuristic_assignment,4.0,False,heuristic_assignment
57,D,Operating Style, Where does your natural strength lie?,Analysing complexity and finding clear patterns,analyst,,heuristic_assignment,3.0,False,heuristic_assignment
58,A,Environment Fit, In what kind of environment do you thrive?,Stretch goals with clear accountability,competitive,,manual_override,11.0,False,manual_override
58,B,Environment Fit, In what kind of environment do you thrive?,Strong relationships that move work forward,collaborative,,manual_override,1.0,True,manual_override; low-confidence or nuanced wording
58,C,Environment Fit, In what kind of environment do you thrive?,Predictable environment with minimal surprises,structured,,manual_override,3.0,False,manual_override
58,D,Environment Fit, In what kind of environment do you thrive?,Clear systems that support quality execution,creative,structured,manual_override,5.0,False,manual_override; secondary=structured
59,A,Core Drivers, What is the greatest value you bring to a company?,Creating momentum when progress stalls,achievement,,heuristic_assignment,3.0,False,heuristic_assignment
59,B,Core Drivers, What is the greatest value you bring to a company?,Building engagement that lifts team effort,influence,,heuristic_assignment,3.0,False,heuristic_assignment
59,C,Core Drivers, What is the greatest value you bring to a company?,Delivering reliably under pressure,stability,,heuristic_assignment,3.0,False,heuristic_assignment
59,D,Core Drivers, What is the greatest value you bring to a company?,Bringing precision to important decisions,mastery,,heuristic_assignment,4.0,False,heuristic_assignment
60,A,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Tightened priorities and pushed faster decisions,driver,,heuristic_assignment,6.0,False,heuristic_assignment
60,B,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Reframed the goal and re-energised people,influencer,,heuristic_assignment,7.0,False,heuristic_assignment
60,C,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Stabilised workload and reduced extra disruption,implementer,,heuristic_assignment,3.0,False,heuristic_assignment
60,D,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Reworked the plan and challenged assumptions,analyst,implementer,heuristic_assignment,0.0,True,heuristic_assignment; secondary=implementer; low-confidence or nuanced wording
61,A,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Defended my view and argued my case,compete,,manual_override,4.0,False,manual_override
61,B,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Reframed it to build broader support,collaborate,,manual_override,3.0,False,manual_override
61,C,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Lowered tension so we could keep talking,compromise,collaborate,manual_override,4.0,False,manual_override; secondary=collaborate
61,D,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Tested their reasoning before responding,avoidance,compromise,manual_override,3.0,False,manual_override; secondary=compromise
62,A,Leadership Approach," In high-performing teams, what matters most to you?",Clear momentum and disciplined execution,results,vision,heuristic_assignment,2.0,False,heuristic_assignment; secondary=vision
62,B,Leadership Approach," In high-performing teams, what matters most to you?",Shared energy and belief in the mission,vision,,heuristic_assignment,8.0,False,heuristic_assignment
62,C,Leadership Approach," In high-performing teams, what matters most to you?","Trust, cohesion, and mutual support",people,,heuristic_assignment,14.0,False,heuristic_assignment
62,D,Leadership Approach," In high-performing teams, what matters most to you?",High standards and technical precision,process,,heuristic_assignment,7.0,False,heuristic_assignment
63,A,Operating Style,"When a project you were involved in started to drift, what did you do?",Stepped in directly and reset direction,driver,,manual_override,4.0,False,manual_override
63,B,Operating Style,"When a project you were involved in started to drift, what did you do?",Influenced key people to regain traction,influencer,,manual_override,9.0,False,manual_override
63,C,Operating Style,"When a project you were involved in started to drift, what did you do?",Brought people together to re-align,implementer,influencer,manual_override,8.0,False,manual_override; secondary=influencer
63,D,Operating Style,"When a project you were involved in started to drift, what did you do?",Tightened process and clarified decision points,analyst,implementer,manual_override,4.0,False,manual_override; secondary=implementer
64,A,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Potential upside if execution went well,driver,,heuristic_assignment,3.0,False,heuristic_assignment
64,B,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Whether the story would attract support,influencer,,heuristic_assignment,1.0,True,heuristic_assignment; low-confidence or nuanced wording
64,C,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Effects on people and team stability,implementer,influencer,heuristic_assignment,1.0,True,heuristic_assignment; secondary=influencer; low-confidence or nuanced wording
64,D,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Evidence strength and probability of success,analyst,,heuristic_assignment,7.0,False,heuristic_assignment
65,A,Tension Response,"When someone disagreed with you privately, how did you handle it?",Stated my decision and expected alignment,compete,,manual_override,2.0,False,manual_override
65,B,Tension Response,"When someone disagreed with you privately, how did you handle it?",Worked to win them over to my view,collaborate,,manual_override,1.0,True,manual_override; low-confidence or nuanced wording
65,C,Tension Response,"When someone disagreed with you privately, how did you handle it?",Explored their concerns before deciding next,compromise,,manual_override,3.0,False,manual_override
65,D,Tension Response,"When someone disagreed with you privately, how did you handle it?",Compared assumptions and logic together,avoidance,collaborate,manual_override,4.0,False,manual_override; secondary=collaborate
66,A,Leadership Approach, Why do organisations fail when they grow quickly?,Decision rights get blurred and contested,results,,heuristic_assignment,2.65,False,heuristic_assignment
66,B,Leadership Approach, Why do organisations fail when they grow quickly?,The original vision gets diluted over time,vision,,heuristic_assignment,2.65,False,heuristic_assignment
66,C,Leadership Approach, Why do organisations fail when they grow quickly?,Culture fractures across teams and layers,people,,heuristic_assignment,0.35,True,heuristic_assignment; low-confidence or nuanced wording
66,D,Leadership Approach, Why do organisations fail when they grow quickly?,Core systems fail under added scale,process,,heuristic_assignment,1.65,True,heuristic_assignment; low-confidence or nuanced wording
67,A,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Became more forceful to regain control,control,,manual_override,7.0,False,manual_override
67,B,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Became more expressive and talked it through,scatter,,manual_override,3.0,False,manual_override
67,C,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Focused on calming people before solving,withdrawal,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
67,D,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Shifted into analysis to avoid reacting,critical,,manual_override,2.0,False,manual_override
68,A,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Said the hard thing clearly and early,compete,,manual_override,3.0,False,manual_override
68,B,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Framed it to keep them engaged,compromise,collaborate,manual_override,3.0,False,manual_override; secondary=collaborate
68,C,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Protected the relationship while raising the issue,collaborate,compromise,manual_override,4.0,False,manual_override; secondary=compromise
68,D,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Kept to facts and avoided exaggeration,avoidance,compromise,manual_override,3.0,False,manual_override; secondary=compromise
69,A,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Owned it quickly and corrected course,control,,manual_override,3.0,False,manual_override
69,B,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Rebuilt commitment so people stayed engaged,scatter,,manual_override,3.0,False,manual_override
69,C,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Protected morale while we reset,withdrawal,,manual_override,4.0,False,manual_override
69,D,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Investigated root causes before the next move,critical,,manual_override,4.0,False,manual_override
70,A,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",Who makes the final calls here,competitive,,heuristic_assignment,0.35,True,heuristic_assignment; low-confidence or nuanced wording
70,B,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",Who really shapes decisions informally,creative,,heuristic_assignment,0.35,True,heuristic_assignment; low-confidence or nuanced wording
70,C,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",How trust and relationships actually work,collaborative,,heuristic_assignment,8.35,False,heuristic_assignment
70,D,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",How the core systems run,structured,,heuristic_assignment,3.65,False,heuristic_assignment
71,A,Leadership Approach, When are you most effective as a leader?,When clear performance lift is needed,results,,manual_override,4.0,False,manual_override
71,B,Leadership Approach, When are you most effective as a leader?,When people need confidence and direction,vision,people,manual_override,3.0,False,manual_override; secondary=people
71,C,Leadership Approach, When are you most effective as a leader?,When the team needs steadiness and trust,people,,manual_override,4.0,False,manual_override
71,D,Leadership Approach, When are you most effective as a leader?,When problems require deep expert judgement,process,,manual_override,3.0,False,manual_override
72,A,Operating Style,"When you last faced competing priorities, how did you decide?",Chose the fastest route to impact,driver,,heuristic_assignment,3.0,False,heuristic_assignment
72,B,Operating Style,"When you last faced competing priorities, how did you decide?",Aligned key stakeholders before committing,influencer,,heuristic_assignment,8.0,False,heuristic_assignment
72,C,Operating Style,"When you last faced competing priorities, how did you decide?",Sought broad agreement before moving ahead,implementer,,heuristic_assignment,0.0,True,heuristic_assignment; low-confidence or nuanced wording
72,D,Operating Style,"When you last faced competing priorities, how did you decide?",Weighed downstream effects before deciding,analyst,,heuristic_assignment,3.0,False,heuristic_assignment
73,A,Operating Style, What does uncertainty in an organisation usually indicate to you?,A window to move before others do,driver,,heuristic_assignment,4.0,False,heuristic_assignment
73,B,Operating Style, What does uncertainty in an organisation usually indicate to you?,A moment to rally people around change,influencer,,heuristic_assignment,7.0,False,heuristic_assignment
73,C,Operating Style, What does uncertainty in an organisation usually indicate to you?,A warning sign that needs stabilising,implementer,,heuristic_assignment,3.0,False,heuristic_assignment
73,D,Operating Style, What does uncertainty in an organisation usually indicate to you?,A complex problem to map carefully,analyst,,heuristic_assignment,4.0,False,heuristic_assignment
74,A,Leadership Approach, What is the most damaging behaviour a leader can display?,Avoiding decisions when clarity is needed,results,process,manual_override,4.0,False,manual_override; secondary=process
74,B,Leadership Approach, What is the most damaging behaviour a leader can display?,Making it about ego over outcomes,vision,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
74,C,Leadership Approach, What is the most damaging behaviour a leader can display?,Losing touch with team reality,people,,manual_override,3.0,False,manual_override
74,D,Leadership Approach, What is the most damaging behaviour a leader can display?,Repeated poor judgement on key calls,process,results,manual_override,0.0,True,manual_override; secondary=results; low-confidence or nuanced wording
75,A,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased pressure and tightened deadlines,control,,heuristic_assignment,6.0,False,heuristic_assignment
75,B,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased communication and visibility,scatter,,heuristic_assignment,6.0,False,heuristic_assignment
75,C,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased support and removed friction,withdrawal,,heuristic_assignment,3.0,False,heuristic_assignment
75,D,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased analysis before major calls,critical,,heuristic_assignment,6.0,False,heuristic_assignment
76,A,Environment Fit, What do the best organisations consistently get right?,They compete hard and keep standards high,competitive,,manual_override,1.65,False,manual_override
76,B,Environment Fit, What do the best organisations consistently get right?,They keep people inspired by clear purpose,creative,,manual_override,3.65,False,manual_override
76,C,Environment Fit, What do the best organisations consistently get right?,They stay cohesive when pressure rises,collaborative,,manual_override,0.35,True,manual_override; low-confidence or nuanced wording
76,D,Environment Fit, What do the best organisations consistently get right?,They run strong systems consistently,structured,,manual_override,5.35,False,manual_override
77,A,Operating Style," When data conflicts with your instinct, what do you do?","Back my instinct, then validate quickly",driver,,heuristic_assignment,6.65,False,heuristic_assignment
77,B,Operating Style," When data conflicts with your instinct, what do you do?",Get more viewpoints before committing,influencer,,heuristic_assignment,0.35,True,heuristic_assignment; low-confidence or nuanced wording
77,C,Operating Style," When data conflicts with your instinct, what do you do?",Pause and test where bias may exist,implementer,,heuristic_assignment,0.35,True,heuristic_assignment; low-confidence or nuanced wording
77,D,Operating Style," When data conflicts with your instinct, what do you do?",Follow the evidence even if uncomfortable,analyst,,heuristic_assignment,7.35,False,heuristic_assignment
78,A,Pressure Response," When organisations go through change, what is your instinct?",Push change fast and remove blockers,control,,heuristic_assignment,4.0,False,heuristic_assignment
78,B,Pressure Response," When organisations go through change, what is your instinct?",Explain the vision until it lands,scatter,,heuristic_assignment,4.0,False,heuristic_assignment
78,C,Pressure Response," When organisations go through change, what is your instinct?",Protect core stability during transition,withdrawal,,heuristic_assignment,4.0,False,heuristic_assignment
78,D,Pressure Response," When organisations go through change, what is your instinct?",Design the transition step by step,critical,,heuristic_assignment,6.0,False,heuristic_assignment
79,A,Environment Fit, What kind of behaviour should organisations reward most?,Behaviours that deliver wins consistently,competitive,,manual_override,2.0,False,manual_override
79,B,Environment Fit, What kind of behaviour should organisations reward most?,Behaviours that build influence and momentum,creative,,manual_override,0.0,True,manual_override; low-confidence or nuanced wording
79,C,Environment Fit, What kind of behaviour should organisations reward most?,Behaviours that strengthen trust and loyalty,collaborative,,manual_override,7.0,False,manual_override
79,D,Environment Fit, What kind of behaviour should organisations reward most?,Behaviours that show strong competence,structured,creative,manual_override,4.0,False,manual_override; secondary=creative
80,A,Core Drivers," When evaluating people, what do you value most?",Results delivered against clear goals,achievement,,heuristic_assignment,8.0,False,heuristic_assignment
80,B,Core Drivers," When evaluating people, what do you value most?",Influence created across key stakeholders,influence,,heuristic_assignment,5.0,False,heuristic_assignment
80,C,Core Drivers," When evaluating people, what do you value most?",Relationships maintained under pressure,stability,,heuristic_assignment,4.0,False,heuristic_assignment
80,D,Core Drivers," When evaluating people, what do you value most?",Quality of thinking behind decisions,mastery,,heuristic_assignment,4.0,False,heuristic_assignment
