Question,Answer,Question Text,Response,Domain,Driver,Influencer,Implementer,Analyst,Achievement,Influence,Stability,Mastery,Results,Vision,People,Process,Compete,Collaborate,Compromise,Avoidance,Competitive,Creative,Collaborative,Structured,Control,Scatter,Withdrawal,Critical
55,A, What kind of culture do you struggle in?,Slow cultures where decisions drag on,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
55,B, What kind of culture do you struggle in?,Risk-averse cultures that reject new ideas,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
55,C, What kind of culture do you struggle in?,Harsh cultures that normalise blame,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
55,D, What kind of culture do you struggle in?,Chaotic cultures with no clear process,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
56,A, What type of role suits you best?,Owning commercial outcomes across teams,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
56,B, What type of role suits you best?,Building partnerships and opening opportunities,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
56,C, What type of role suits you best?,Running operations with reliability and pace,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
56,D, What type of role suits you best?,Solving specialist problems with deep expertise,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
57,A, Where does your natural strength lie?,Driving change when momentum is needed,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
57,B, Where does your natural strength lie?,Influencing people across functions and levels,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
57,C, Where does your natural strength lie?,Keeping delivery stable during disruption,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
57,D, Where does your natural strength lie?,Analysing complexity and finding clear patterns,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
58,A, In what kind of environment do you thrive?,Stretch goals with clear accountability,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
58,B, In what kind of environment do you thrive?,Strong relationships that move work forward,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
58,C, In what kind of environment do you thrive?,Predictable environment with minimal surprises,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
58,D, In what kind of environment do you thrive?,Clear systems that support quality execution,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
59,A, What is the greatest value you bring to a company?,Creating momentum when progress stalls,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
59,B, What is the greatest value you bring to a company?,Building engagement that lifts team effort,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
59,C, What is the greatest value you bring to a company?,Delivering reliably under pressure,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
59,D, What is the greatest value you bring to a company?,Bringing precision to important decisions,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
60,A,Think of a time when progress stalled on something important. What did you do next?,Tightened priorities and pushed faster decisions,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
60,B,Think of a time when progress stalled on something important. What did you do next?,Reframed the goal and re-energised people,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
60,C,Think of a time when progress stalled on something important. What did you do next?,Stabilised workload and reduced extra disruption,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
60,D,Think of a time when progress stalled on something important. What did you do next?,Reworked the plan and challenged assumptions,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
61,A,"When someone strongly challenged your idea recently, how did you respond?",Defended my view and argued my case,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
61,B,"When someone strongly challenged your idea recently, how did you respond?",Reframed it to build broader support,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
61,C,"When someone strongly challenged your idea recently, how did you respond?",Lowered tension so we could keep talking,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
61,D,"When someone strongly challenged your idea recently, how did you respond?",Tested their reasoning before responding,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
62,A," In high-performing teams, what matters most to you?",Clear momentum and disciplined execution,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
62,B," In high-performing teams, what matters most to you?",Shared energy and belief in the mission,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
62,C," In high-performing teams, what matters most to you?","Trust, cohesion, and mutual support",Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
62,D," In high-performing teams, what matters most to you?",High standards and technical precision,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
63,A,"When a project you were involved in started to drift, what did you do?",Stepped in directly and reset direction,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
63,B,"When a project you were involved in started to drift, what did you do?",Influenced key people to regain traction,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
63,C,"When a project you were involved in started to drift, what did you do?",Brought people together to re-align,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
63,D,"When a project you were involved in started to drift, what did you do?",Tightened process and clarified decision points,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
64,A,Think of a risky opportunity you evaluated recently. What did you focus on most?,Potential upside if execution went well,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
64,B,Think of a risky opportunity you evaluated recently. What did you focus on most?,Whether the story would attract support,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
64,C,Think of a risky opportunity you evaluated recently. What did you focus on most?,Effects on people and team stability,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
64,D,Think of a risky opportunity you evaluated recently. What did you focus on most?,Evidence strength and probability of success,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
65,A,"When someone disagreed with you privately, how did you handle it?",Stated my decision and expected alignment,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
65,B,"When someone disagreed with you privately, how did you handle it?",Worked to win them over to my view,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
65,C,"When someone disagreed with you privately, how did you handle it?",Explored their concerns before deciding next,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
65,D,"When someone disagreed with you privately, how did you handle it?",Compared assumptions and logic together,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
66,A, Why do organisations fail when they grow quickly?,Decision rights get blurred and contested,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
66,B, Why do organisations fail when they grow quickly?,The original vision gets diluted over time,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
66,C, Why do organisations fail when they grow quickly?,Culture fractures across teams and layers,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
66,D, Why do organisations fail when they grow quickly?,Core systems fail under added scale,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
67,A,"In a recent emotionally charged situation, how did you behave?",Became more forceful to regain control,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
67,B,"In a recent emotionally charged situation, how did you behave?",Became more expressive and talked it through,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
67,C,"In a recent emotionally charged situation, how did you behave?",Focused on calming people before solving,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
67,D,"In a recent emotionally charged situation, how did you behave?",Shifted into analysis to avoid reacting,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
68,A,Think of a difficult conversation you had. What did you prioritise?,Said the hard thing clearly and early,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
68,B,Think of a difficult conversation you had. What did you prioritise?,Framed it to keep them engaged,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
68,C,Think of a difficult conversation you had. What did you prioritise?,Protected the relationship while raising the issue,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
68,D,Think of a difficult conversation you had. What did you prioritise?,Kept to facts and avoided exaggeration,Tension Response,,,,,,,,,,,,,,,,,,,,,,,,
69,A,"When a decision you made turned out to be wrong, what did you do next?",Owned it quickly and corrected course,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
69,B,"When a decision you made turned out to be wrong, what did you do next?",Rebuilt commitment so people stayed engaged,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
69,C,"When a decision you made turned out to be wrong, what did you do next?",Protected morale while we reset,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
69,D,"When a decision you made turned out to be wrong, what did you do next?",Investigated root causes before the next move,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
70,A,"When you joined a new team or organisation, what did you try to understand first?",Who makes the final calls here,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
70,B,"When you joined a new team or organisation, what did you try to understand first?",Who really shapes decisions informally,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
70,C,"When you joined a new team or organisation, what did you try to understand first?",How trust and relationships actually work,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
70,D,"When you joined a new team or organisation, what did you try to understand first?",How the core systems run,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
71,A, When are you most effective as a leader?,When clear performance lift is needed,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
71,B, When are you most effective as a leader?,When people need confidence and direction,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
71,C, When are you most effective as a leader?,When the team needs steadiness and trust,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
71,D, When are you most effective as a leader?,When problems require deep expert judgement,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
72,A,"When you last faced competing priorities, how did you decide?",Chose the fastest route to impact,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
72,B,"When you last faced competing priorities, how did you decide?",Aligned key stakeholders before committing,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
72,C,"When you last faced competing priorities, how did you decide?",Sought broad agreement before moving ahead,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
72,D,"When you last faced competing priorities, how did you decide?",Weighed downstream effects before deciding,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
73,A, What does uncertainty in an organisation usually indicate to you?,A window to move before others do,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
73,B, What does uncertainty in an organisation usually indicate to you?,A moment to rally people around change,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
73,C, What does uncertainty in an organisation usually indicate to you?,A warning sign that needs stabilising,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
73,D, What does uncertainty in an organisation usually indicate to you?,A complex problem to map carefully,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
74,A, What is the most damaging behaviour a leader can display?,Avoiding decisions when clarity is needed,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
74,B, What is the most damaging behaviour a leader can display?,Making it about ego over outcomes,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
74,C, What is the most damaging behaviour a leader can display?,Losing touch with team reality,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
74,D, What is the most damaging behaviour a leader can display?,Repeated poor judgement on key calls,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
75,A,"When outcomes really mattered, how did you operate differently (if at all)?",Increased pressure and tightened deadlines,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
75,B,"When outcomes really mattered, how did you operate differently (if at all)?",Increased communication and visibility,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
75,C,"When outcomes really mattered, how did you operate differently (if at all)?",Increased support and removed friction,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
75,D,"When outcomes really mattered, how did you operate differently (if at all)?",Increased analysis before major calls,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
76,A, What do the best organisations consistently get right?,They compete hard and keep standards high,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
76,B, What do the best organisations consistently get right?,They keep people inspired by clear purpose,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
76,C, What do the best organisations consistently get right?,They stay cohesive when pressure rises,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
76,D, What do the best organisations consistently get right?,They run strong systems consistently,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
77,A," When data conflicts with your instinct, what do you do?","Back my instinct, then validate quickly",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
77,B," When data conflicts with your instinct, what do you do?",Get more viewpoints before committing,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
77,C," When data conflicts with your instinct, what do you do?",Pause and test where bias may exist,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
77,D," When data conflicts with your instinct, what do you do?",Follow the evidence even if uncomfortable,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
78,A," When organisations go through change, what is your instinct?",Push change fast and remove blockers,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
78,B," When organisations go through change, what is your instinct?",Explain the vision until it lands,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
78,C," When organisations go through change, what is your instinct?",Protect core stability during transition,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
78,D," When organisations go through change, what is your instinct?",Design the transition step by step,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
79,A, What kind of behaviour should organisations reward most?,Behaviours that deliver wins consistently,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
79,B, What kind of behaviour should organisations reward most?,Behaviours that build influence and momentum,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
79,C, What kind of behaviour should organisations reward most?,Behaviours that strengthen trust and loyalty,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
79,D, What kind of behaviour should organisations reward most?,Behaviours that show strong competence,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
80,A," When evaluating people, what do you value most?",Results delivered against clear goals,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
80,B," When evaluating people, what do you value most?",Influence created across key stakeholders,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
80,C," When evaluating people, what do you value most?",Relationships maintained under pressure,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
80,D," When evaluating people, what do you value most?",Quality of thinking behind decisions,Core Drivers,,,,,,,,,,,,,,,,,,,,,,,,
